Gene,MainType,Age,mean,std,count,percent_expressing
Eomes,Glioblasts,11.0,0.051,0.066,4,75.0
Eomes,Glioblasts,12.0,0.016,0.026,4,100.0
Eomes,Glioblasts,12.5,0.0,0.0,2,0.0
Eomes,Glioblasts,13.0,0.002,0.004,3,33.333
Eomes,Glioblasts,14.0,0.0,0.0,2,0.0
Eomes,Glioblasts,14.5,0.005,,1,100.0
Eomes,Glioblasts,15.0,0.004,,1,100.0
Eomes,Glioblasts,15.5,0.0,,1,0.0
Eomes,Glioblasts,16.5,0.027,,1,100.0
Eomes,Neuroblasts,8.5,0.006,0.012,4,25.0
Eomes,Neuroblasts,9.0,0.126,0.21,3,66.667
Eomes,Neuroblasts,10.0,0.676,1.331,9,77.778
Eomes,Neuroblasts,11.0,0.242,0.677,8,37.5
Eomes,Neuroblasts,12.0,0.092,0.182,5,60.0
Eomes,Neuroblasts,12.5,0.249,0.526,20,60.0
Eomes,Neuroblasts,13.0,0.253,0.875,17,76.471
Eomes,Neuroblasts,13.5,0.168,0.408,7,57.143
Eomes,Neuroblasts,14.0,0.006,0.005,4,75.0
Eomes,Neuroblasts,14.5,0.232,0.388,10,60.0
Eomes,Neuroblasts,15.0,0.364,0.749,8,75.0
Eomes,Neuroblasts,15.5,0.069,0.104,8,62.5
Eomes,Neuroblasts,16.0,1.166,1.575,10,90.0
Eomes,Neuroblasts,16.25,2.587,0.115,2,100.0
Eomes,Neuroblasts,16.5,0.035,0.067,4,50.0
Eomes,Neuroblasts,17.0,0.53,0.91,3,100.0
Eomes,Neuroblasts,17.5,1.316,1.861,2,50.0
Eomes,Neuroblasts,18.0,0.0,,1,0.0
Eomes,Neurons,10.0,0.025,0.052,16,43.75
Eomes,Neurons,11.0,0.066,0.116,19,68.421
Eomes,Neurons,12.0,0.025,0.066,27,44.444
Eomes,Neurons,12.5,0.116,0.37,33,54.545
Eomes,Neurons,13.0,0.025,0.056,14,42.857
Eomes,Neurons,13.5,0.325,0.74,13,69.231
Eomes,Neurons,14.0,0.296,0.534,20,65.0
Eomes,Neurons,14.5,0.005,0.008,13,30.769
Eomes,Neurons,15.0,0.069,0.246,17,41.176
Eomes,Neurons,15.5,0.007,0.015,10,30.0
Eomes,Neurons,16.0,0.011,0.016,7,71.429
Eomes,Neurons,16.25,0.064,0.147,7,85.714
Eomes,Neurons,16.5,0.052,0.119,11,45.455
Eomes,Neurons,17.0,0.051,0.094,5,60.0
Eomes,Neurons,17.5,0.008,0.016,6,33.333
Eomes,Neurons,18.0,0.002,0.002,5,60.0
Eomes,OPCs,12.0,0.0,0.001,4,25.0
Eomes,OPCs,12.5,0.004,,1,100.0
Eomes,OPCs,13.0,0.0,,1,0.0
Eomes,OPCs,13.5,0.005,0.005,2,100.0
Eomes,OPCs,14.0,0.0,,1,0.0
Eomes,OPCs,16.0,0.133,,1,100.0
Eomes,Radial glia,8.0,0.014,,1,100.0
Eomes,Radial glia,10.0,0.009,0.016,3,33.333
Eomes,Radial glia,11.0,0.066,0.096,4,75.0
Eomes,Radial glia,12.0,0.034,0.087,7,28.571
Eomes,Radial glia,12.5,0.001,0.002,9,22.222
Eomes,Radial glia,13.0,0.014,0.022,9,66.667
Eomes,Radial glia,13.5,0.07,0.15,5,40.0
Eomes,Radial glia,14.0,0.01,0.009,5,60.0
Eomes,Radial glia,14.5,0.001,0.003,4,25.0
Eomes,Radial glia,15.0,0.006,0.006,4,50.0
Eomes,Radial glia,15.5,0.026,0.053,4,25.0
Eomes,Radial glia,16.0,0.009,0.015,3,66.667
Eomes,Radial glia,16.25,0.044,0.022,2,100.0
Eomes,Radial glia,16.5,0.017,0.01,2,100.0
Eomes,Radial glia,17.0,0.033,0.053,4,75.0
Eomes,Radial glia,17.5,0.004,0.004,3,66.667
Neurod2,Glioblasts,11.0,0.034,0.026,4,100.0
Neurod2,Glioblasts,12.0,0.02,0.029,4,100.0
Neurod2,Glioblasts,12.5,0.019,0.021,2,100.0
Neurod2,Glioblasts,13.0,0.02,0.034,3,33.333
Neurod2,Glioblasts,14.0,0.002,0.002,2,50.0
Neurod2,Glioblasts,14.5,0.005,,1,100.0
Neurod2,Glioblasts,15.0,0.015,,1,100.0
Neurod2,Glioblasts,15.5,0.011,,1,100.0
Neurod2,Glioblasts,16.5,0.02,,1,100.0
Neurod2,Neuroblasts,8.5,0.009,0.01,4,75.0
